Importance,Level,Code,Occupation
66,46,47-2031.01,Construction Carpenters
66,46,47-2081.00,Drywall and Ceiling Tile Installers
66,46,51-2031.00,Engine and Other Machine Assemblers
66,46,47-2142.00,Paperhangers
66,46,51-6031.00,Sewing Machine Operators
66,45,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
66,45,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
66,45,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
66,45,31-9011.00,Massage Therapists
66,45,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
66,45,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
66,45,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
66,45,49-3093.00,Tire Repairers and Changers
66,43,51-9191.00,Adhesive Bonding Machine Operators and Tenders
66,43,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
66,43,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
66,43,53-7111.00,Mine Shuttle Car Operators
66,43,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
66,43,47-2072.00,Pile-Driver Operators
66,43,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
66,43,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
66,43,47-5071.00,"Roustabouts, Oil and Gas"
66,41,51-2092.00,Team Assemblers
63,55,29-1023.00,Orthodontists
63,55,29-1024.00,Prosthodontists
63,52,49-2021.01,Radio Mechanics
63,52,47-2022.00,Stonemasons
63,52,29-2099.07,Surgical Assistants
63,48,45-4021.00,Fallers
63,48,51-9083.00,Ophthalmic Laboratory Technicians
63,46,51-3021.00,Butchers and Meat Cutters
63,46,51-2023.00,Electromechanical Equipment Assemblers
63,46,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
63,46,47-4021.00,Elevator Installers and Repairers
63,46,51-9082.00,Medical Appliance Technicians
63,46,51-9122.00,"Painters, Transportation Equipment"
63,46,51-4052.00,"Pourers and Casters, Metal"
63,46,49-9021.02,Refrigeration Mechanics and Installers
63,46,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
63,45,53-7021.00,Crane and Tower Operators
63,45,51-9031.00,"Cutters and Trimmers, Hand"
63,45,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
63,45,47-3016.00,Helpers--Roofers
63,45,53-7051.00,Industrial Truck and Tractor Operators
63,45,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
63,45,51-4192.00,"Layout Workers, Metal and Plastic"
63,45,47-2152.02,Plumbers
63,45,47-2181.00,Roofers
63,45,53-5011.00,Sailors and Marine Oilers
63,45,49-9064.00,Watch Repairers
63,43,53-2012.00,Commercial Pilots
63,43,47-2043.00,Floor Sanders and Finishers
63,43,49-9021.01,Heating and Air Conditioning Mechanics and Installers
63,43,49-9081.00,Wind Turbine Service Technicians
63,37,47-4099.03,Weatherization Installers and Technicians
60,52,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
60,52,29-2055.00,Surgical Technologists
60,50,29-2041.00,Emergency Medical Technicians and Paramedics
60,50,53-7033.00,"Loading Machine Operators, Underground Mining"
60,50,53-7064.00,"Packers and Packagers, Hand"
60,48,47-5041.00,Continuous Mining Machine Operators
60,48,51-2091.00,Fiberglass Laminators and Fabricators
60,48,51-4061.00,"Model Makers, Metal and Plastic"
60,48,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
60,46,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
60,46,49-3021.00,Automotive Body and Related Repairers
60,46,51-8099.01,Biofuels Processing Technicians
60,46,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
60,46,51-2022.00,Electrical and Electronic Equipment Assemblers
60,46,39-4011.00,Embalmers
60,46,47-5042.00,Mine Cutting and Channeling Machine Operators
60,46,51-9195.07,Molding and Casting Workers
60,46,17-3029.12,Nanotechnology Engineering Technicians
60,46,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
60,46,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
60,46,49-9096.00,Riggers
60,46,53-5021.01,Ship and Boat Captains
60,46,51-2093.00,Timing Device Assemblers and Adjusters
60,45,51-2021.00,"Coil Winders, Tapers, and Finishers"
60,45,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
60,45,47-2111.00,Electricians
60,45,31-9099.02,Endoscopy Technicians
60,45,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
60,45,37-3011.00,Landscaping and Groundskeeping Workers
60,45,47-2073.00,Operating Engineers and Other Construction Equipment Operators
60,45,51-5113.00,Print Binding and Finishing Workers
60,45,49-2098.00,Security and Fire Alarm Systems Installers
60,45,47-5013.00,"Service Unit Operators, Oil, Gas, and Mining"
60,45,51-6042.00,Shoe Machine Operators and Tenders
60,45,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
60,45,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
60,43,39-5011.00,Barbers
60,43,47-2121.00,Glaziers
60,43,51-8099.04,Hydroelectric Plant Technicians
60,43,47-2132.00,"Insulation Workers, Mechanical"
60,43,53-4011.00,Locomotive Engineers
60,43,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
60,43,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
60,43,47-4091.00,Segmental Pavers
60,43,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
60,41,53-7031.00,Dredge Operators
60,41,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
60,41,27-1026.00,Merchandise Displayers and Window Trimmers
60,41,51-4121.06,"Welders, Cutters, and Welder Fitters"
60,39,53-7041.00,Hoist and Winch Operators
56,48,29-1071.01,Anesthesiologist Assistants
56,48,51-9194.00,Etchers and Engravers
56,48,53-4012.00,Locomotive Firers
56,48,49-9062.00,Medical Equipment Repairers
56,48,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
56,48,47-5051.00,"Rock Splitters, Quarry"
56,46,49-2091.00,Avionics Technicians
56,46,49-9061.00,Camera and Photographic Equipment Repairers
56,46,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
56,46,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
56,46,51-7031.00,"Model Makers, Wood"
56,46,17-3029.08,Photonics Technicians
56,46,51-4193.00,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
56,46,47-2211.00,Sheet Metal Workers
56,46,53-5031.00,Ship Engineers
56,45,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
56,45,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
56,45,45-2041.00,"Graders and Sorters, Agricultural Products"
56,45,51-9198.00,Helpers--Production Workers
56,45,47-4051.00,Highway Maintenance Workers
56,45,45-3021.00,Hunters and Trappers
56,45,49-9043.00,"Maintenance Workers, Machinery"
56,45,51-4062.00,"Patternmakers, Metal and Plastic"
56,45,49-9052.00,Telecommunications Line Installers and Repairers
56,43,53-6031.00,Automotive and Watercraft Service Attendants
56,43,51-9011.00,Chemical Equipment Operators and Tenders
56,43,17-3023.03,Electrical Engineering Technicians
56,43,45-4011.00,Forest and Conservation Workers
56,43,47-4041.00,Hazardous Materials Removal Workers
56,43,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
56,43,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
56,43,31-9093.00,Medical Equipment Preparers
56,43,45-2092.01,Nursery Workers
56,43,51-6041.00,Shoe and Leather Workers and Repairers
56,43,51-3023.00,Slaughterers and Meat Packers
56,43,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
56,41,47-2041.00,Carpet Installers
56,41,35-2013.00,"Cooks, Private Household"
56,41,47-3012.00,Helpers--Carpenters
56,41,51-9123.00,"Painting, Coating, and Decorating Workers"
56,41,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
53,54,51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
53,50,51-9111.00,Packaging and Filling Machine Operators and Tenders
53,48,29-2021.00,Dental Hygienists
53,48,51-9071.06,Gem and Diamond Workers
53,46,27-2021.00,Athletes and Sports Competitors
53,46,45-2092.02,"Farmworkers and Laborers, Crop"
53,46,29-1041.00,Optometrists
53,45,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
53,45,53-7011.00,Conveyor Operators and Tenders
53,45,35-2014.00,"Cooks, Restaurant"
53,45,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
53,45,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
53,45,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
53,45,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
53,45,33-1021.02,Forest Fire Fighting and Prevention Supervisors
53,45,29-2011.03,Histotechnologists and Histologic Technicians
53,45,49-9094.00,Locksmiths and Safe Repairers
53,45,45-4022.00,Logging Equipment Operators
53,45,25-4013.00,Museum Technicians and Conservators
53,45,29-2091.00,Orthotists and Prosthetists
53,45,29-1123.00,Physical Therapists
53,45,51-5112.00,Printing Press Operators
53,45,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
53,45,51-9141.00,Semiconductor Processors
53,43,45-2091.00,Agricultural Equipment Operators
53,43,49-3022.00,Automotive Glass Installers and Repairers
53,43,35-3011.00,Bartenders
53,43,51-8099.03,Biomass Plant Technicians
53,43,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
53,43,35-1011.00,Chefs and Head Cooks
53,43,51-8091.00,Chemical Plant and System Operators
53,43,51-9081.00,Dental Laboratory Technicians
53,43,17-3023.01,Electronics Engineering Technicians
53,43,51-3092.00,Food Batchmakers
53,43,19-4093.00,Forest and Conservation Technicians
53,43,29-2092.00,Hearing Aid Specialists
53,43,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
53,43,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
53,43,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
53,43,17-3029.09,Manufacturing Production Technicians
53,43,29-2012.00,Medical and Clinical Laboratory Technicians
53,43,39-3021.00,Motion Picture Projectionists
53,43,29-2081.00,"Opticians, Dispensing"
53,43,47-2141.00,"Painters, Construction and Maintenance"
53,43,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
53,43,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
53,43,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
53,43,27-4021.00,Photographers
53,43,47-2151.00,Pipelayers
53,43,53-4021.00,"Railroad Brake, Signal, and Switch Operators"
53,43,51-8021.00,Stationary Engineers and Boiler Operators
53,43,51-2041.00,Structural Metal Fabricators and Fitters
53,43,47-2082.00,Tapers
53,43,47-2044.00,Tile and Marble Setters
53,43,51-4111.00,Tool and Die Makers
53,43,29-2056.00,Veterinary Technologists and Technicians
53,43,53-7073.00,Wellhead Pumpers
53,41,29-2031.00,Cardiovascular Technologists and Technicians
53,41,51-6092.00,Fabric and Apparel Patternmakers
53,41,35-2021.00,Food Preparation Workers
53,41,29-2052.00,Pharmacy Technicians
53,41,43-5051.00,Postal Service Clerks
53,41,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
53,41,53-7081.00,Refuse and Recyclable Material Collectors
53,41,29-1126.00,Respiratory Therapists
53,41,51-4121.07,Solderers and Brazers
53,41,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
53,41,53-3041.00,Taxi Drivers and Chauffeurs
53,41,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
53,39,53-7061.00,Cleaners of Vehicles and Equipment
53,39,43-5021.00,Couriers and Messengers
53,39,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
53,39,51-9151.00,Photographic Process Workers and Processing Machine Operators
53,39,29-2099.06,Radiologic Technicians
53,39,47-2231.00,Solar Photovoltaic Installers
53,37,17-3027.01,Automotive Engineering Technicians
53,37,51-3093.00,Food Cooking Machine Operators and Tenders
53,34,27-1023.00,Floral Designers
53,Not available,29-1069.12,Urologists
50,55,29-1064.00,Obstetricians and Gynecologists
50,52,29-1131.00,Veterinarians
50,48,29-1069.06,Ophthalmologists
50,46,17-3029.07,Mechanical Engineering Technologists
50,45,53-1011.00,Aircraft Cargo Handling Supervisors
50,45,29-1061.00,Anesthesiologists
50,45,27-4011.00,Audio and Video Equipment Technicians
50,45,29-2032.00,Diagnostic Medical Sonographers
50,45,17-3029.04,Electronics Engineering Technologists
50,45,45-1011.05,First-Line Supervisors of Logging Workers
50,45,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
50,45,29-2011.00,Medical and Clinical Laboratory Technologists
50,45,29-1081.00,Podiatrists
50,45,29-1141.00,Registered Nurses
50,43,17-3021.00,Aerospace Engineering and Operations Technicians
50,43,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
50,43,35-2012.00,"Cooks, Institution and Cafeteria"
50,43,29-2011.02,Cytotechnologists
50,43,31-9091.00,Dental Assistants
50,43,17-3029.03,Electromechanical Engineering Technologists
50,43,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
50,43,45-1011.06,First-Line Supervisors of Aquacultural Workers
50,43,39-9031.00,Fitness Trainers and Aerobics Instructors
50,43,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
50,43,49-9099.01,Geothermal Technicians
50,43,53-7063.00,Machine Feeders and Offbearers
50,43,29-2035.00,Magnetic Resonance Imaging Technologists
50,43,53-5021.02,"Mates- Ship, Boat, and Barge"
50,43,17-3029.01,Non-Destructive Testing Specialists
50,43,29-1151.00,Nurse Anesthetists
50,43,31-9097.00,Phlebotomists
50,43,29-1124.00,Radiation Therapists
50,43,17-2199.08,Robotics Engineers
50,43,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
50,43,47-4099.02,Solar Thermal Installers and Technicians
50,43,17-3031.01,Surveying Technicians
50,43,33-9093.00,Transportation Security Screeners
50,43,51-8031.00,Water and Wastewater Treatment Plant and System Operators
50,41,33-9011.00,Animal Control Workers
50,41,39-2011.00,Animal Trainers
50,41,11-9013.03,Aquacultural Managers
50,41,29-9091.00,Athletic Trainers
50,41,51-3011.00,Bakers
50,41,35-3022.01,Baristas
50,41,19-4031.00,Chemical Technicians
50,41,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
50,41,35-2015.00,"Cooks, Short Order"
50,41,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
50,41,11-9051.00,Food Service Managers
50,41,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
50,41,19-4041.02,Geological Sample Test Technicians
50,41,53-3033.00,Light Truck or Delivery Services Drivers
50,41,37-2021.00,Pest Control Workers
50,41,33-3051.01,Police Patrol Officers
50,41,51-9071.07,Precious Metal Workers
50,41,29-2034.00,Radiologic Technologists
50,41,27-1027.00,Set and Exhibit Designers
50,41,39-5093.00,Shampooers
50,41,43-5071.00,"Shipping, Receiving, and Traffic Clerks"
50,41,39-5094.00,Skincare Specialists
50,41,17-1022.00,Surveyors
50,39,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
50,39,19-4092.00,Forensic Science Technicians
50,39,39-3011.00,Gaming Dealers
50,39,45-4023.00,Log Graders and Scalers
50,39,29-2054.00,Respiratory Therapy Technicians
50,39,33-3052.00,Transit and Railroad Police
50,39,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
50,38,43-5081.02,Marking Clerks
50,37,53-2031.00,Flight Attendants
50,37,51-6011.00,Laundry and Dry-Cleaning Workers
50,37,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
50,37,31-2021.00,Physical Therapist Assistants
50,36,31-1015.00,Orderlies
50,36,33-3021.01,Police Detectives
50,34,27-4012.00,Broadcast Technicians
50,34,39-5092.00,Manicurists and Pedicurists
50,30,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
47,45,29-1069.05,Nuclear Medicine Physicians
47,43,29-1011.00,Chiropractors
47,43,29-1141.03,Critical Care Nurses
47,43,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers
47,43,43-5052.00,Postal Service Mail Carriers
47,43,51-8013.00,Power Plant Operators
47,41,33-3012.00,Correctional Officers and Jailers
47,41,39-3092.00,Costume Attendants
47,41,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
47,41,17-3027.00,Mechanical Engineering Technicians
47,41,29-2033.00,Nuclear Medicine Technologists
47,41,27-4014.00,Sound Engineering Technicians
47,41,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
47,41,35-3031.00,Waiters and Waitresses
47,39,45-2021.00,Animal Breeders
47,39,53-6051.01,Aviation Inspectors
47,39,19-4021.00,Biological Technicians
47,39,13-1041.06,Coroners
47,39,53-3031.00,Driver/Sales Workers
47,39,17-3025.00,Environmental Engineering Technicians
47,39,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
47,39,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
47,39,31-2022.00,Physical Therapist Aides
47,39,53-5021.03,"Pilots, Ship"
47,39,47-1011.03,Solar Energy Installation Managers
47,38,11-9013.01,Nursery and Greenhouse Managers
47,37,43-9031.00,Desktop Publishers
47,37,17-3029.06,Manufacturing Engineering Technologists
47,37,31-2011.00,Occupational Therapy Assistants
47,37,19-4099.02,Precision Agriculture Technicians
47,36,39-6011.00,Baggage Porters and Bellhops
47,36,53-6011.00,Bridge and Lock Tenders
47,36,35-2011.00,"Cooks, Fast Food"
47,36,33-2021.02,Fire Investigators
47,36,43-5041.00,"Meter Readers, Utilities"
47,36,19-4051.01,Nuclear Equipment Operation Technicians
47,36,29-2099.05,Ophthalmic Medical Technologists
47,36,53-6021.00,Parking Lot Attendants
47,34,31-1011.00,Home Health Aides
47,34,37-2012.00,Maids and Housekeeping Cleaners
47,34,43-5081.01,"Stock Clerks, Sales Floor"
47,32,53-3022.00,"Bus Drivers, School or Special Client"
47,30,53-3021.00,"Bus Drivers, Transit and Intercity"
47,30,41-2012.00,Gaming Change Persons and Booth Cashiers
44,43,29-1161.00,Nurse Midwives
44,41,25-2059.01,Adapted Physical Education Specialists
44,41,17-2072.00,"Electronics Engineers, Except Computer"
44,41,29-2061.00,Licensed Practical and Licensed Vocational Nurses
44,41,19-1022.00,Microbiologists
44,41,33-3051.03,Sheriffs and Deputy Sheriffs
44,39,19-3091.02,Archeologists
44,39,29-1141.04,Clinical Nurse Specialists
44,39,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
44,39,29-2011.01,Cytogenetic Technologists
44,39,11-9013.02,Farm and Ranch Managers
44,39,33-1012.00,First-Line Supervisors of Police and Detectives
44,39,51-8092.00,Gas Plant Operators
44,39,43-9071.00,"Office Machine Operators, Except Computer"
44,39,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
44,39,51-5111.00,Prepress Technicians and Workers
44,39,11-3051.01,Quality Control Systems Managers
44,39,29-1069.11,Sports Medicine Physicians
44,37,29-1199.01,Acupuncturists
44,37,19-4091.00,"Environmental Science and Protection Technicians, Including Health"
44,37,33-3021.05,Immigration and Customs Inspectors
44,37,29-1199.05,Orthoptists
44,37,53-4031.00,Railroad Conductors and Yardmasters
44,36,25-2032.00,"Career/Technical Education Teachers, Secondary School"
44,36,19-2031.00,Chemists
44,36,29-1125.02,Music Therapists
44,36,31-2012.00,Occupational Therapy Aides
44,36,33-3021.02,Police Identification and Records Officers
44,34,19-4051.02,Nuclear Monitoring Technicians
44,34,41-2022.00,Parts Salespersons
44,34,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
44,32,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
44,32,39-2021.00,Nonfarm Animal Caretakers
44,30,29-2099.01,Neurodiagnostic Technologists
44,29,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
41,45,29-1171.00,Nurse Practitioners
41,39,19-4099.01,Quality Control Analysts
41,37,29-1181.00,Audiologists
41,37,13-1199.01,Energy Auditors
41,37,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
41,37,17-3029.11,Nanotechnology Engineering Technologists
41,36,33-3031.00,Fish and Game Wardens
41,36,31-1014.00,Nursing Assistants
41,36,29-2057.00,Ophthalmic Medical Technicians
41,36,29-1051.00,Pharmacists
41,34,39-9011.01,Nannies
41,32,29-1125.01,Art Therapists
41,32,27-1022.00,Fashion Designers
41,30,39-3091.00,Amusement and Recreation Attendants
41,30,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
41,30,33-2021.01,Fire Inspectors
41,30,35-3041.00,"Food Servers, Nonrestaurant"
41,30,39-3012.00,Gaming and Sports Book Writers and Runners
41,29,33-3021.03,Criminal Investigators and Special Agents
41,29,43-4071.00,File Clerks
41,Not available,29-1069.02,Dermatologists
41,Not available,27-4013.00,Radio Operators
38,41,19-4011.01,Agricultural Technicians
38,41,51-1011.00,First-Line Supervisors of Production and Operating Workers
38,39,17-2199.06,Microsystems Engineers
38,37,15-1143.01,Telecommunications Engineering Specialists
38,36,15-1151.00,Computer User Support Specialists
38,36,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
38,36,17-2199.07,Photonics Engineers
38,36,29-1069.08,Physical Medicine and Rehabilitation Physicians
38,34,29-2051.00,Dietetic Technicians
38,34,19-4011.02,Food Science Technicians
38,34,33-2022.00,Forest Fire Inspectors and Prevention Specialists
38,34,29-1071.00,Physician Assistants
38,32,17-1022.01,Geodetic Surveyors
38,32,17-3029.05,Industrial Engineering Technologists
38,32,25-1194.00,"Vocational Education Teachers, Postsecondary"
38,30,45-2011.00,Agricultural Inspectors
38,30,53-2022.00,Airfield Operations Specialists
38,30,41-2011.00,Cashiers
38,30,25-4031.00,Library Technicians
38,30,29-2071.00,Medical Records and Health Information Technicians
38,30,15-1142.00,Network and Computer Systems Administrators
38,30,33-3041.00,Parking Enforcement Workers
38,30,39-1012.00,Slot Supervisors
38,29,23-2091.00,Court Reporters
38,29,31-9094.00,Medical Transcriptionists
38,29,31-1013.00,Psychiatric Aides
38,27,17-3031.02,Mapping Technicians
38,27,19-1031.03,Park Naturalists
38,27,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
35,39,21-1094.00,Community Health Workers
35,36,17-2199.01,Biochemical Engineers
35,36,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
